,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,east london,-33.02,27.91,68.94,82,99,9.95,ZA,1607567098
88,kaitangata,-46.28,169.85,61.0,73,65,8.99,NZ,1607567138
89,yeppoon,-23.13,150.73,87.8,35,22,12.75,AU,1607567446
90,kindu,-2.95,25.95,69.46,98,100,1.99,CD,1607567446
91,chumikan,54.72,135.31,4.17,87,60,13.27,RU,1607567446
92,sitka,57.05,-135.33,37.4,81,90,5.23,US,1607567136
93,anori,-3.77,-61.64,74.61,95,29,2.13,BR,1607567446
94,karratha,-20.74,116.85,88.18,58,73,12.44,AU,1607567447
95,aitape,-3.14,142.35,85.8,66,91,6.85,PG,1607567447
96,robore,-18.33,-59.75,71.29,91,96,2.71,BO,1607567447
97,nelson bay,-32.72,152.15,87.01,51,20,10.29,AU,1607567447
98,tuktoyaktuk,69.45,-133.04,-18.4,75,75,4.7,CA,1607567103
99,albany,42.6,-73.97,34.0,75,87,4.09,US,1607567018
100,bayji,34.93,43.49,53.56,67,0,7.05,IQ,1607567448
101,gerede,40.8,32.2,34.07,89,83,6.33,TR,1607567448
102,hilo,19.73,-155.09,82.4,58,20,8.05,US,1607567096
103,manado,1.49,124.85,87.8,66,40,2.24,ID,1607567215
104,alice springs,-23.7,133.88,77.0,27,100,19.46,AU,1607567444
105,provideniya,64.38,-173.3,6.8,71,40,3.0,RU,1607567122
106,atuona,-9.8,-139.03,79.05,74,0,18.7,PF,1607567116
107,saldanha,-33.01,17.94,59.0,93,0,6.93,ZA,1607567135
108,yar-sale,66.83,70.83,5.94,94,49,14.16,RU,1607567255
109,faanui,-16.48,-151.75,79.11,78,100,15.26,PF,1607567253
110,butaritari,3.07,172.79,82.06,78,18,10.87,KI,1607567162
111,atar,20.52,-13.05,60.33,30,100,10.49,MR,1607567449
112,celestun,20.87,-90.4,67.86,65,5,7.72,MX,1607567450
113,saint-philippe,-21.36,55.77,75.2,78,90,14.99,RE,1607567102
114,souillac,-20.52,57.52,75.2,88,75,11.41,MU,1607567136
115,kahului,20.89,-156.47,86.0,48,40,9.17,US,1607567417
116,kalmunai,7.42,81.82,79.88,78,100,10.83,LK,1607567450
117,nome,64.5,-165.41,8.6,71,1,19.46,US,1607567161
118,shalakusha,62.22,40.25,18.23,93,0,5.28,RU,1607567451
119,avarua,-21.21,-159.78,84.2,66,0,12.75,CK,1607567100
120,ulladulla,-35.35,150.47,68.0,100,75,10.29,AU,1607567451
121,dikson,73.51,80.55,-11.45,86,1,2.17,RU,1607567143
122,airai,-8.93,125.41,76.5,64,100,2.51,TL,1607567118
123,jurm,36.86,70.83,29.61,69,57,6.11,AF,1607567452
124,mount isa,-20.73,139.5,98.6,7,100,8.05,AU,1607567237
125,bambous virieux,-20.34,57.76,75.99,88,75,11.41,MU,1607567163
126,kifri,34.7,44.97,55.17,57,0,7.0,IQ,1607567452
127,adrar,20.5,-10.07,56.89,31,94,10.18,MR,1607567452
128,stolin,51.89,26.85,27.63,94,100,14.38,BY,1607567453
129,san rafael,-34.62,-68.33,78.06,29,0,2.53,AR,1607567217
130,gewane,10.17,40.65,72.41,46,34,4.03,ET,1607567453
131,pisco,-13.7,-76.22,66.2,82,0,16.11,PE,1607566870
132,coracao de jesus,-16.69,-44.37,69.8,100,75,3.33,BR,1607567514
133,cidreira,-30.18,-50.21,68.34,85,1,6.73,BR,1607567220
134,ust-maya,60.42,134.53,-17.81,87,90,1.23,RU,1607567514
135,yulara,-25.24,130.99,66.2,82,90,11.41,AU,1607567138
136,pemalang,-6.9,109.37,83.79,73,79,9.15,ID,1607567514
137,namatanai,-3.67,152.43,83.89,73,86,6.24,PG,1607567216
138,verkhoyansk,67.54,133.38,-40.92,75,25,1.19,RU,1607567515
139,uglegorsk,49.08,142.03,25.88,85,28,0.98,RU,1607567515
140,puerto ayora,-0.74,-90.35,73.0,93,17,5.99,EC,1607567100
141,bredasdorp,-34.53,20.04,53.6,93,0,1.12,ZA,1607567175
142,de-kastri,51.47,140.78,15.93,82,100,3.53,RU,1607567516
143,craig,40.52,-107.55,30.2,52,1,3.89,US,1607567516
144,san patricio,28.02,-97.52,61.0,67,40,9.17,US,1607567140
145,san vicente,-26.62,-54.13,66.6,62,0,3.89,AR,1607567256
146,cajati,-24.74,-48.12,69.55,93,71,1.5,BR,1607567516
147,japura,-0.32,102.35,81.12,81,100,2.64,ID,1607567379
148,saint george,37.1,-113.58,51.8,15,1,2.21,US,1607567165
149,penzance,50.12,-5.54,48.2,93,95,18.34,GB,1607567517
150,ormond beach,29.29,-81.06,51.01,87,1,5.82,US,1607567517
151,lata,40.16,-8.33,54.0,96,100,5.01,PT,1607567099
152,cacoal,-11.44,-61.45,73.47,95,100,1.77,BR,1607567518
153,castro,-24.79,-50.01,58.62,88,92,2.75,BR,1607567103
154,sharlyk,52.92,54.75,9.0,89,0,7.23,RU,1607567518
155,houma,29.6,-90.72,55.99,80,0,1.99,US,1607567394
156,flinders,-34.58,150.86,75.99,63,42,11.01,AU,1607567140
157,yamada,39.47,141.95,49.87,54,100,9.73,JP,1607567519
158,torbay,47.67,-52.73,37.99,93,90,20.8,CA,1607567519
159,katangli,51.71,143.23,15.64,90,100,2.48,RU,1607567519
160,yerofey pavlovich,53.97,121.97,0.64,90,100,3.6,RU,1607567519
161,yantzaza,-3.83,-78.76,67.33,84,11,1.72,EC,1607567520
162,cockburn town,21.46,-71.14,75.2,64,75,5.82,TC,1607567520
163,maymyo,22.03,96.47,57.2,87,57,1.01,MM,1607567520
164,ancud,-41.87,-73.82,55.99,81,0,4.7,CL,1607567196
165,kupang,-10.17,123.58,89.6,59,40,13.87,ID,1607567521
166,peniche,39.36,-9.38,61.0,92,100,18.01,PT,1607567521
167,heihe,50.24,127.49,3.2,77,40,1.39,CN,1607567325
168,katobu,-4.94,122.53,81.88,85,99,4.05,ID,1607567521
169,krasnogorskoye,52.3,86.2,10.89,96,100,3.98,RU,1607567521
170,kaura namoda,12.59,6.58,71.83,22,5,7.92,NG,1607567522
171,morondava,-20.28,44.28,79.12,78,34,7.47,MG,1607567522
172,georgetown,5.41,100.34,84.2,78,20,2.24,MY,1607566818
173,castelo do piaui,-5.32,-41.55,80.02,62,95,5.53,BR,1607567522
174,jardim,-21.48,-56.14,71.2,50,16,1.83,BR,1607567311
175,gilbues,-9.83,-45.34,72.12,74,74,0.89,BR,1607567583
176,urumqi,43.8,87.6,3.2,84,0,2.24,CN,1607567562
177,dudinka,69.41,86.18,-16.6,68,95,15.66,RU,1607567583
178,menongue,-14.66,17.69,62.98,90,99,5.12,AO,1607567583
179,bagdarin,54.43,113.6,-2.25,77,100,13.82,RU,1607567584
180,contamana,-7.33,-75.02,74.26,91,23,3.09,PE,1607567584
181,ponta do sol,32.67,-17.1,62.6,72,40,9.17,PT,1607567196
182,catuday,16.29,119.81,83.66,72,3,5.88,PH,1607567584
183,general pico,-35.66,-63.76,76.53,52,0,12.19,AR,1607567584
184,shaowu,27.34,117.48,59.5,71,97,3.31,CN,1607567479
185,safford,32.83,-109.71,60.8,17,75,8.05,US,1607567404
186,tezu,27.92,96.17,70.88,40,0,2.42,IN,1607567585
187,lumphat,13.49,106.98,84.15,60,12,3.24,KH,1607567585
188,ipameri,-17.72,-48.16,69.01,84,100,3.85,BR,1607567350
189,kavieng,-2.57,150.8,83.7,72,100,5.99,PG,1607567585
190,lichinga,-13.31,35.24,66.2,93,40,10.29,MZ,1607567586
191,nangong,37.36,115.37,41.99,58,0,5.44,CN,1607567586
192,narsaq,60.92,-46.05,28.4,33,0,13.87,GL,1607567140
193,delijan,33.99,50.68,36.86,79,26,2.44,IR,1607567586
194,kedrovyy,56.17,91.82,-14.8,83,40,4.97,RU,1607567586
195,bathsheba,13.22,-59.52,78.8,74,20,12.75,BB,1607567104
196,hinton,53.4,-117.59,26.6,86,94,5.82,CA,1607567587
